name,url,img_data_url,category,summary,rating,rating_count,review_count,ingredients,directions,prep,cook,total,servings,yield,calories,carbohydrates_g,sugars_g,fat_g,saturated_fat_g,cholesterol_mg,protein_g,dietary_fiber_g,sodium_mg,calories_from_fat,calcium_mg,iron_mg,magnesium_mg,potassium_mg,zinc_mg,phosphorus_mg,vitamin_a_iu_IU,niacin_equivalents_mg,vitamin_b6_mg,vitamin_c_mg,folate_mcg,thiamin_mg,riboflavin_mg,vitamin_e_iu_IU,vitamin_k_mcg,biotin_mcg,vitamin_b12_mcg,mono_fat_g,poly_fat_g,trans_fatty_acid_g,omega_3_fatty_acid_g,omega_6_fatty_acid_g
Wonton Wrappers,https://www.allrecipes.com/recipe/20881/wonton-wrappers/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1092172.jpg,"Main Dishes,Dumpling Recipes",For those of us who like to make EVERYTHING ourselves -- an original wonton wrapper recipe. Use the wonton wrappers to form tasty little dumplings stuffed with your favorite fillings.,4.53,243,248,"1 egg , ⅓ cup water , 2 cups all-purpose flour , ½ teaspoon salt","In a medium bowl, beat the egg. Mix in the water. In a large bowl, combine the flour and salt. Create a well in the center of the mixture and slowly pour in the egg and water. Mix well. If the mixture is too dry, increase the amount of water one teaspoon at a time until a pliable dough has formed. On a lightly floured surface, knead the dough until elastic. Cut dough into two separate balls. Cover the balls with a damp cloth for a minimum of 10 minutes. Cut each ball into four equal pieces. Roll the pieces into 10 1/2 by 10 1/2 inch squares. Cut each into nine 3 1/2 by 3 1/2 inch squares. Use in any recipe that calls for wonton wrappers.",30 mins,,30 mins,72,72 wonton squares,13.6,2.7,,0.1,,2.6,0.4,0.1,17.2,0.9,0.9,0.2,0.9,4.7,,,3.4,0.3,,,6.7,,,,,,,,,,,
Baked Brie in Puff Pastry,https://www.allrecipes.com/recipe/15192/baked-brie-in-puff-pastry/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F534862.jpg,"Appetizers and Snacks,Cheese","This wonderful, light puff pastry is filled with melted Brie cheese. Serve with crackers on the side.",4.5,246,254,"½ (17.5 ounce) package frozen puff pastry, thawed , 1 (8 ounce) wheel Brie cheese , ¼ cup sliced almonds","Preheat oven to 350 degrees F (175 degree C). Lightly grease a 9 inch pie pan. Slice the wheel of Brie in half, horizontally, so that the halves are two, flatter wheels of Brie. Lay the puff pastry in the pie pan. Place half of the Brie (rind-side down) onto the pastry dough. Sprinkle almonds evenly over the top. Place the other half of the Brie (rind-side up) over the almonds. Bundle the pastry dough around the Brie. Bake for 15 to 20 minutes. Let cool for 5 minutes before serving.",5 mins,20 mins,25 mins,8,8 to 10 servings,281.3,14.5,0.4,21.0,8.0,28.4,8.7,0.8,254.7,189.2,63.3,0.9,19.4,79.8,,,168.3,3.4,,,43.5,0.1,,,,,,,,,,
The Best Fresh Tomato Salsa,https://www.allrecipes.com/recipe/214893/the-best-fresh-tomato-salsa/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4553301.jpg,"Appetizers and Snacks,Dips and Spreads Recipes",Great with your favorite chips. Gets better as the flavors meld.,4.71,628,647,"3 cups chopped tomatoes , ½ cup chopped green bell pepper , 1 cup onion, diced , ¼ cup minced fresh cilantro , 2 tablespoons fresh lime juice , 4 teaspoons chopped fresh jalapeno pepper (including seeds) , ½ teaspoon ground cumin , ½ teaspoon kosher salt , ½ teaspoon ground black pepper","Stir the tomatoes, green bell pepper, onion, cilantro, lime juice, jalapeno pepper, cumin, salt, and pepper in a bowl. Serve.",20 mins,,20 mins,40,5 cups,5.0,1.1,0.6,,,,0.2,0.3,25.1,0.4,3.2,0.1,2.4,45.0,,,141.2,0.1,,3.9,3.4,,,,,,,,,,,
Fruit Dip II,https://www.allrecipes.com/recipe/16570/fruit-dip-ii/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F819035.jpg,"Appetizers and Snacks,Dips and Spreads Recipes","This is a really light and fluffy fruit dip that is great at parties, holidays, or any time! Serve with fruit of your choice.",4.8,1138,1143,"1 (8 ounce) package cream cheese, softened , 1 (7 ounce) jar marshmallow creme","Using an electric mixer, blend cream cheese and marshmallow creme until mixed thoroughly.",5 mins,,5 mins,12,12 to 16 servings,117.7,13.4,7.7,6.6,4.1,20.5,1.5,,68.3,59.0,15.4,0.3,1.4,23.0,,,251.4,0.2,,,2.6,,,,,,,,,,,
Creamy Cheesy Spinach Dip,https://www.allrecipes.com/recipe/228778/creamy-cheesy-spinach-dip/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F898314.jpg,"Appetizers and Snacks,Dips and Spreads Recipes","This recipe doesn't contain mayo or sour cream like most, so it's very cheesy and very delicious. I'm asked for the recipe every time I make it. For those who don't want a strong cheese like Cheddar, you can replace it with anything you like or even leave it out altogether. I like adding the Cheddar because it adds color and a little more flavor.",4.42,92,108,"1 tablespoon olive oil, divided , 1 small onion, finely chopped , 2 cloves garlic, minced , 2 (10 ounce) packages frozen spinach - thawed, drained, and chopped , ½ cup milk , 6 ounces cream cheese , ½ cup shredded mozzarella cheese , ¼ cup shredded Cheddar cheese , 2 dashes Worcestershire sauce ,  salt and ground black pepper to taste , ½ cup shredded mozzarella cheese","Preheat oven to 425 degrees F (220 degrees C). Grease a 1 1/2-quart shallow baking dish with 1 teaspoon olive oil. Heat 2 teaspoons olive oil in a large pot over medium heat. Cook and stir onion and garlic in hot oil until lightly browned, 4 to 7 minutes. Add spinach and simmer until spinach is hot, about 5 minutes. Drain any liquid from the mixture and transfer to a bowl. Pour milk into pot and return pot to medium heat. Melt cream cheese into the milk; cook and stir together about 3 minutes. Return spinach mixture to pot with 1/2 cup mozzarella cheese and Cheddar cheese; stir to combine. Season the mixture with Worcestershire sauce, salt, and pepper. Pour the mixture into the prepared baking dish and top with 1/2 cup mozzarella cheese. Bake in preheated oven until bubbly and golden brown on top, 20 to 25 minutes.",,30 mins,30 mins,12,12 servings,114.8,3.9,1.2,8.8,4.9,24.9,6.1,1.5,155.0,79.4,177.2,1.1,41.0,217.1,,,5829.4,1.9,,3.2,73.4,0.1,,,,,,,,,,
Excellent and Healthy Cornbread,https://www.allrecipes.com/recipe/17969/excellent-and-healthy-cornbread/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F819698.jpg,"Bread,Quick Bread Recipes","This cornbread recipe contains no oil and tastes very, very good. Serve warm with honey, butter or margarine.",4.31,378,379,"1 cup unbleached flour , 1 cup cornmeal , ¼ cup white sugar , 1 teaspoon baking soda , ¾ teaspoon salt , 1 cup plain nonfat yogurt , 2 eggs, beaten","Preheat oven to 400 degrees F (200 degrees C). Lightly grease an 8x8 inch baking pan. In a large bowl, mix flour, cornmeal, sugar, soda and salt. Stir in yogurt and eggs. Do not over mix, stir only until well blended. Pour batter into prepared pan. Bake in preheated oven for 20 to 25 minutes, or until center of the bread springs back when gently pressed.",10 mins,25 mins,35 mins,12,1 - 8x8 inch pan,76.3,13.6,5.9,1.2,0.3,31.4,3.0,0.7,281.2,11.1,45.8,0.5,17.8,92.5,,,63.8,0.8,,0.2,8.9,0.1,,,,,,,,,,
Pizza Dough I,https://www.allrecipes.com/recipe/6776/pizza-dough-i/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5291342.jpg,"Bread,Pizza Dough and Crust Recipes",This one is a quick recipe that merely involves mixing a few basic ingredients and patting the dough into the pan. No need to wait for the dough to rise with this approach.,4.44,2849,2923,"3 cups all-purpose flour , 1 (.25 ounce) package active dry yeast , 2 tablespoons vegetable oil , 1 teaspoon salt , 1 tablespoon white sugar , 1 cup warm water (110 degrees F/45 degrees C)","Combine flour, salt, sugar, and yeast in a large bowl. Mix in oil and warm water. Spread out on a large pizza pan. Top as desired. Bake at 375 degrees C (190 degrees C) for 20 to 25 minutes.",10 mins,25 mins,35 mins,15,1 pizza,111.8,20.1,0.9,2.1,0.3,,2.8,0.8,156.2,18.9,4.6,1.2,6.1,36.3,,,,2.2,,,56.7,0.2,,,,,,,,,,
Best Keto Bread,https://www.allrecipes.com/recipe/263033/best-keto-bread/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6837480.jpg,"Bread,Quick Bread Recipes","This delicious low-carb and keto bread couldn't be any easier to make. Baked to perfection, it is ideal for slicing and making toasts or sandwiches.",4.51,202,205,"cooking spray , 7 eggs, at room temperature , ½ cup butter, melted and cooled , 2 tablespoons olive oil , 2 cups blanched almond flour , 1 teaspoon baking powder , ½ teaspoon xanthan gum , ½ teaspoon sea salt","Preheat the oven to 350 degrees F (175 degrees C). Grease a silicone loaf pan with cooking spray. Whisk eggs in a bowl until smooth and creamy, about 3 minutes. Add melted butter and olive oil; mix until well combined. Combine almond flour, baking powder, xanthan gum, and salt in a separate bowl; mix well. Add gradually to the egg mixture, mixing well until a thick batter is formed. Pour batter into the prepared pan and smooth the top with a spatula. Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 45 minutes.",15 mins,45 mins,1 hr,12,1 loaf,246.8,4.9,0.9,22.8,6.8,115.8,7.7,2.4,209.3,204.9,45.6,1.4,4.5,37.5,,,361.4,0.7,,,12.3,,,,,,,,,,,
Pizza Dough III,https://www.allrecipes.com/recipe/23290/pizza-dough-iii/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2609479.jpg,"Bread,Yeast Bread Recipes","A friend gave me this recipe for pizza dough. It is quick, easy and delicious!",4.46,1483,1537,"1 (.25 ounce) package active dry yeast , 1 cup warm water (110 degrees F/45 degrees C) , 2 cups bread flour , 2 tablespoons olive oil , 1 teaspoon salt , 2 teaspoons white sugar","In a small bowl, dissolve yeast in warm water. Let stand until creamy, about 10 minutes. In a large bowl, combine 2 cups bread flour, olive oil, salt, white sugar and the yeast mixture; stir well to combine. Beat well until a stiff dough has formed. Cover and rise until doubled in volume, about 30 minutes. Meanwhile, preheat oven to 350 degrees F (175 degrees C). Turn dough out onto a well floured surface. Form dough into a round and roll out into a pizza crust shape. Cover with your favorite sauce and toppings and bake in preheated oven until golden brown, about 20 minutes.",15 mins,20 mins,1 hr 5 mins,12,1 large crust,24.3,0.9,0.7,2.3,0.3,,0.2,0.1,194.7,20.5,1.1,0.1,0.8,11.9,,,,0.3,,,13.6,,,,,,,,,,,
Italian Bread Using a Bread Machine,https://www.allrecipes.com/recipe/22823/italian-bread-using-a-bread-machine/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3453871.jpg,"Bread,Yeast Bread Recipes",Wonderful Italian bread made in a bread machine then baked in the oven.,4.7,761,792,"4 cups unbleached all-purpose flour , 1 tablespoon light brown sugar , 1 ⅓ cups warm water (110 degrees F/45 degrees C) , 1 ½ teaspoons salt , 1 ½ teaspoons olive oil , 1 (.25 ounce) package active dry yeast , 1 egg , 1 tablespoon water , 2 tablespoons cornmeal","Place flour, brown sugar, warm water, salt, olive oil and yeast in the pan of the bread machine in the order recommended by the manufacturer. Select dough cycle; press Start. Deflate the dough and turn it out onto a lightly floured surface. Form dough into two loaves. Place the loaves seam side down on a cutting board generously sprinkled with cornmeal. Cover the loaves with a damp cloth and let rise, until doubled in volume about 40 minutes. Meanwhile, preheat oven to 375 degrees F (190 degrees C). In a small bowl, beat together egg and 1 tablespoon water. Brush the risen loaves with egg mixture. Make a single long, quick cut down the center of the loaves with a sharp knife. Gently shake the cutting board to make sure that the loaves are not sticking. If they stick, use a spatula or pastry knife to loosen. Slide the loaves onto a baking sheet with one quick but careful motion. Bake in preheated oven for 30 to 35 minutes, or until loaves sound hollow when tapped on the bottom.",20 mins,35 mins,3 hrs 20 mins,20,2 - 1 pound loaves,104.5,20.6,0.7,0.9,0.2,9.3,3.1,0.8,178.9,7.9,6.0,1.3,6.5,39.4,,,14.0,1.8,,,49.7,0.2,,,,,,,,,,
Blueberry Banana Bread,https://www.allrecipes.com/recipe/229021/blueberry-banana-bread/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7403716.jpg,"Bread,Quick Bread Recipes","Combine blueberries and bananas in these tender, golden loaves. Whether you enjoy a slice as a snack or for breakfast, this bread is so flavorful, you won't need butter.",4.73,398,452,"2 cups all-purpose flour , 1 teaspoon baking soda , ½ teaspoon salt , ½ cup butter, softened , 1 cup white sugar , 2 eggs , 2 teaspoons vanilla extract , 2 ripe bananas, mashed , 1 cup fresh blueberries","Preheat oven to 350 degrees F (175 degrees C). Grease 3 small loaf pans. Mix flour, baking soda, and salt together in a bowl. Beat butter and sugar with an electric mixer in a large bowl until light and fluffy. The mixture should be noticeably lighter in color. Add 1 egg and allow to blend into the butter mixture before adding the second egg along with vanilla extract. Beat mashed bananas thoroughly into the mixture. Add flour mixture in small increments while beating until just combined into a thick batter. Fold blueberries into the batter; pour into prepared loaf pans. Bake in the preheated oven until a toothpick inserted into the center comes out clean, 30 to 35 minutes. Cool in the pans for 10 minutes before removing to cool completely on a wire rack.",15 mins,30 mins,55 mins,15,3 small loaves,197.2,31.2,16.4,7.0,4.1,41.1,2.9,1.1,215.0,63.4,9.5,1.0,9.5,93.5,,,236.8,1.7,,2.3,37.6,0.1,,,,,,,,,,
Beer Bread I,https://www.allrecipes.com/recipe/6717/beer-bread-i/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6998353.jpg,"Bread,Quick Bread Recipes",Beer Bread is a quick bread to make to accompany any beef dish. The type of beer you use will change the taste.,4.52,891,926,"1 (12 fluid ounce) can or bottle beer , 3 cups self-rising flour , 3 tablespoons white sugar","In a large bowl, mix together the sugar and flour. Add beer and continue to mix, first using a wooden spoon, then your hands. Batter will be sticky. Pour into a 9 x 5 inch greased loaf pan. Bake at 350 degrees F (175 degrees ) for 50 for 60 minutes. The top will be crunchy, and the insides will be soft. Serve topped with butter or cheese spread.",,,,12,1 loaf,135.5,27.4,3.2,0.3,,,3.2,0.8,398.1,2.7,106.8,1.5,7.7,46.8,,,,2.6,,,63.0,0.2,,,,,,,,,,
The Perfect Deviled Eggs,https://www.allrecipes.com/recipe/283621/the-perfect-deviled-eggs/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2021%2F03%2F23%2F9085093-the-perfect-deviled-eggs-photo-by-allrecipes-2000.jpg,"Appetizers and Snacks,Deviled Eggs","Perfect deviled eggs with a creamy, savory filling and just a hint of tang ready for serving in just minutes. These are the perfect picnic staple!",0.0,0,1,"12 large hard-boiled eggs, peeled , ⅓ cup mayonnaise , 1 tablespoon pickle relish , 1 teaspoon Dijon mustard , 1 teaspoon yellow mustard , 1 teaspoon apple cider vinegar , ½ teaspoon salt , ¼ teaspoon ground black pepper , 1 teaspoon ground paprika","Slice eggs in half lengthwise and remove yolks. Place yolks in a medium bowl and set whites aside. Mash yolks with a fork. Add mayonnaise, relish, Dijon, yellow mustard, vinegar, salt, and pepper; stir until well combined and smooth. Transfer to a large zip-top bag. Arrange egg whites on a tray. Snip off the bottom corner of the zip-top bag. Fill each white with about 1 1/2 to 2 teaspoons filling. Sprinkle with paprika.",15 mins,,15 mins,12,24 deviled eggs,124.5,1.4,1.0,10.2,2.4,214.3,6.4,0.1,219.1,91.9,26.3,0.7,5.8,70.0,,,426.0,1.4,,0.2,22.6,,,,,,,,,,,
Air Fryer Ranch-Breaded Mushrooms,https://www.allrecipes.com/recipe/285682/air-fryer-ranch-breaded-mushrooms/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9408811.jpg,"Appetizers and Snacks,Vegetable","I'm a transplanted Floridian living in Oklahoma, and if I've learned anything living in Oklahoma, is “Okies” love ranch. They put it on pizza, dip French fries in it, dip fried pickles in it, and the list goes on. I figured they probably eat mushrooms and ranch together too! My air fryer came with a shallow air fryer pan, if yours does not, you may simply place the mushrooms straight into the air fryer basket.",0.0,0,0,"½ cup milk , ½ cup all-purpose flour , ½ teaspoon garlic and onion seasoning , ½ cup ranch dressing , ¾ cup panko bread crumbs , 2 tablespoons dry ranch dressing mix , 8 ounces portobello mushroom caps, cleaned ,  nonstick cooking spray","Preheat the oven to 400 degrees F (200 degrees C). Set up a breading station with 4 shallow dishes. Add milk to the first dish. Mix flour and seasoning blend together in the second dish. Add ranch dressing to the third dish. Mix panko bread crumbs and dry ranch dressing in the fourth dish. Dip each mushroom first into milk, then flour, shaking off excess flour. Dip in ranch dressing, followed by panko bread crumbs. Set mushrooms in a shallow air fryer pan or the air fryer basket and spray with nonstick cooking spray. Air-fry until mushrooms are golden, about 7 minutes.",15 mins,7 mins,22 mins,4,4 servings,295.7,33.5,3.7,17.1,3.0,10.6,6.6,1.4,704.2,153.9,51.0,1.1,13.0,368.6,,,68.7,4.3,,0.1,42.6,0.2,,,,,,,,,,
Puerto Rican Tostones (Fried Plantains),https://www.allrecipes.com/recipe/16768/puerto-rican-tostones-fried-plantains/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3598313.jpg,"Everyday Cooking,Vegetarian",Crispy fried plantains. A plantain is a very firm banana. Serve as side dish with your meal or as appetizers.,4.58,129,143,"5 tablespoons oil for frying , 1 green plantain , 3 cups cold water ,  salt to taste","Peel the plantain and cut it into 1-inch chunks. Heat the oil in a large skillet. Place the plantains in the oil and fry on both sides,; approximately 3 1/2 minutes per side. Remove the plantains from the pan and flatten the plantains by placing a plate over the fried plantains and pressing down. Dip the plantains in water, then return them to the hot oil and fry 1 minute on each side. Salt to taste and serve immediately.",10 mins,10 mins,20 mins,2,2 servings,135.7,28.5,13.4,3.3,0.5,,1.2,2.1,14.2,30.0,13.4,0.5,36.7,450.2,,,1008.7,0.8,,16.5,19.7,,,,,,,,,,,
Quick Pickled Eggs and Beets,https://www.allrecipes.com/recipe/45157/quick-pickled-eggs-and-beets/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5285110.jpg,"Appetizers and Snacks,Pickled Egg Recipes",Easy and simple way to make pickled beets and eggs. You can double the recipe for larger gatherings. This is my late grandmother's recipe and everyone loves it. Will keep in fridge for up to 2 weeks.,4.74,183,199,"8 eggs , 1 (15 ounce) can sliced beets with liquid , ½ cup white vinegar , ½ cup white sugar , ½ cup water , ½ teaspoon ground cinnamon (Optional)","Place egg in a saucepan and cover with cold water. Bring water to a boil and immediately remove from heat. Cover and let eggs stand in hot water for 10 to 12 minutes. Remove from hot water, cool, and peel. Place eggs in a glass or plastic container. In a saucepan, combine beets, vinegar, sugar, water and cinnamon. Bring to a boil, and stir until sugar is dissolved. Pour over eggs. Cover, and chill for 4 hours or overnight.",10 mins,20 mins,4 hrs 30 mins,8,8 servings,137.0,16.8,15.8,5.0,1.6,186.0,6.8,1.0,173.6,45.4,36.5,1.9,15.3,146.7,,,256.7,1.6,,2.2,39.5,,,,,,,,,,,
Spiced Pecans,https://www.allrecipes.com/recipe/23720/spiced-pecans/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F27952.jpg,"Appetizers and Snacks,uncategorized","So simple, so good! Have tried several different combinations of spices, but keep coming back to this one. I use only pecans, but mixed nuts would be fine.",4.58,310,315,"1 egg white, lightly beaten , 1 tablespoon water , 3 cups pecan halves , ½ cup white sugar , ½ teaspoon salt , 1 teaspoon ground cinnamon , ½ teaspoon ground cloves , ½ teaspoon ground nutmeg","Preheat oven to 350 degrees F (175 degrees C). Line a baking sheet with aluminum foil. In a small bowl beat the egg white with the water. Stir in the pecans, mixing until well moistened. In a small bowl, mix together sugar, salt, cinnamon, cloves and nutmeg. Sprinkle over the moistened nuts. Spread nuts on prepared pan. Bake in preheated oven for 30 minutes, stirring once or twice. Be careful not to overcook and burn the nuts.",10 mins,30 mins,40 mins,6,6 servings,443.1,24.7,18.9,39.0,3.4,,5.6,5.5,203.6,351.0,44.0,1.4,67.1,235.3,,,32.6,1.6,,0.8,12.5,0.4,,,,,,,,,,
Buffalo Cauliflower,https://www.allrecipes.com/recipe/239616/buffalo-cauliflower/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2019%2F12%2F1920541.jpg,"Appetizers and Snacks,Spicy","This is a great substitution for buffalo wings! Can be made gluten-free, vegan, or vegetarian. Make sure to coat your cookie sheet well with oil or they will stick. Husband and kids give this two thumbs up! Dip this in ranch or blue cheese for even more added flavor, but it doesn't need it.",4.27,329,366,"olive oil cooking spray , ¾ cup gluten-free baking flour (such as Premium Gold® Flax and Ancient Grains All-Purpose Flour) , 1 cup water , ½ teaspoon garlic powder, or to taste ,  salt and ground black pepper to taste , 2 heads cauliflower, cut into bite-size pieces , 2 tablespoons butter , ½ cup hot pepper sauce (such as Frank's RedHot®) , 1 teaspoon honey","Preheat oven to 450 degrees F (230 degrees C). Lightly grease a baking sheet with cooking spray. Mix flour, water, garlic powder, salt, and pepper together in a bowl using a whisk until batter is smooth and somewhat runny. Add cauliflower to batter and mix until cauliflower is coated; spread onto the baking sheet. Bake in the preheated oven until lightly browned, 20 to 25 minutes. Melt butter in a saucepan over medium heat. Remove saucepan from heat and stir hot pepper sauce and honey into butter until smooth. Brush hot sauce mixture over each cauliflower piece, repeating brushing until all the hot sauce mixture is used. Bake in the oven until cauliflower is browned, about 10 minutes. Remove baking sheet from oven and allow the cauliflower to cool 10 to 15 minutes.",15 mins,30 mins,55 mins,4,4 servings,218.3,36.2,9.7,7.1,3.7,15.3,8.5,9.9,907.0,63.6,69.4,1.4,45.5,918.5,,,260.1,2.9,,154.4,165.8,0.2,,,,,,,,,,
Pressure Cooker Hard-Boiled Eggs,https://www.allrecipes.com/recipe/237562/pressure-cooker-hard-boiled-eggs/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3603605.jpg,"Appetizers and Snacks,uncategorized","If you happen to raise your own chickens or have access to really fresh eggs, a pressure cooker is the best way to make hard-cooked eggs. It doesn't really save time (the pressure cooker's usual claim to fame), but here's why it's great: it actually makes fresh eggs easy to peel!",4.86,122,120,"2 cups water, or as needed , 8 fresh eggs , 4 cups cold water , 4 cups ice cubes","Fill pressure cooker with the minimum amount of water specified by the manufacturer. Place eggs in the steamer basket above the water. Seal the lid and bring the pressure cooker up to low pressure. Cook, maintaining low pressure, for 6 minutes. Remove the pressure cooker from heat and allow the pressure to drop for 5 minutes. Combine cold water and ice in a large bowl. Use the quick-release method to open the pressure cooker. Transfer the hot eggs to the ice water using an oven mitt or spoon. Cool completely, about 30 minutes.",5 mins,6 mins,46 mins,4,8 eggs,143.0,0.8,0.8,9.9,3.1,372.0,12.6,,150.7,89.5,63.7,1.8,15.6,137.6,,,487.0,2.8,,,47.0,0.1,,,,,,,,,,
Warm Brie and Pear Tartlets,https://www.allrecipes.com/recipe/233487/warm-brie-and-pear-tartlets/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2226808.jpg,"Appetizers and Snacks,Cheese","These make a simple, delicious, and elegant appetizer. They impress every time!",4.8,41,45,"24 mini phyllo tart shells , ¼ pound ripe Brie cheese, cut into 24 small chunks , 1 ripe pear, cut into small dice , 2 sprigs fresh thyme , 2 tablespoons honey, or to taste","Preheat oven to 400 degrees F (200 degrees C). Line a jelly roll pan with parchment paper. Arrange tart shells onto prepared pan. Put a piece of Brie cheese into each shell. Sprinkle diced pear and a couple thyme leaves into each shell and drizzle with honey. Bake in preheated oven until cheese is melted and tarts are golden, 12 to 15 minutes.",15 mins,15 mins,30 mins,24,24 tartlets,47.5,5.0,2.1,2.3,0.8,4.7,1.5,0.2,39.8,20.8,9.6,,1.5,16.5,,,31.2,0.3,,0.4,3.6,,,,,,,,,,,
Brie Cups,https://www.allrecipes.com/recipe/245291/brie-cups/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2806423.jpg,"Appetizers and Snacks,Cheese","If you are looking for a quick, easy, delicious appetizer, this is for you. I've served them many times and my friends always gobble them up. Even cheese haters love this. You can find the phyllo cups in the freezer section.",4.87,45,40,"1 (8 ounce) wedge Brie cheese, rind removed, cut into 1-inch pieces , 15 frozen phyllo tart cups , ½ cup raspberry preserves, or to taste","Preheat oven to 350 degrees F (175 degrees C). Line a baking sheet with parchment paper. Arrange phyllo cups on the baking sheet. Place one piece Brie cheese in each phyllo cup. Top with 1/2 teaspoon raspberry preserves. Bake in the preheated oven until Brie is melted, about 7 minutes.",10 mins,7 mins,17 mins,15,15 phyllo tart cups,135.6,17.4,6.9,5.3,2.9,15.1,4.5,0.4,187.0,48.0,29.9,0.7,5.9,37.1,,,89.6,1.9,,,26.6,0.1,,,,,,,,,,
Chocolate Banana Peanut Butter Protein Shake,https://www.allrecipes.com/recipe/244959/chocolate-banana-peanut-butter-protein-shake/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3618581.jpg,"Breakfast and Brunch,Drinks",High in protein and tasty.,4.84,79,71,"6 cubes ice cubes , 1 cup milk , 1 banana , 1 scoop chocolate-flavored protein powder , 2 tablespoons peanut butter , 1 tablespoon honey , 1 teaspoon unsweetened cocoa powder, or more to taste","Blend ice cubes, milk, banana, protein powder, peanut butter, honey, and cocoa powder together in a blender until smooth.",10 mins,,10 mins,1,2 cups,561.4,66.6,46.1,22.8,7.3,59.5,30.9,6.2,340.5,205.6,312.8,1.3,119.9,1040.6,,,536.7,8.5,,10.9,60.9,0.2,,,,,,,,,,
Maryland Crab Cakes II,https://www.allrecipes.com/recipe/19489/maryland-crab-cakes-ii/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2020%2F09%2F11%2F222154_original-2000.jpg,"Appetizers and Snacks,Seafood","Maryland is famous for its crab cakes! After you've tried this recipe, you'll know why.",4.31,412,446,"1 pound crabmeat, shredded , 1 ½ tablespoons dry bread crumbs , 2 teaspoons chopped fresh parsley ,  salt and pepper to taste , 1 egg , 1 ½ tablespoons mayonnaise , ½ teaspoon ground dry mustard , 1 dash hot pepper sauce","Preheat oven broiler. Mix together crabmeat, bread crumbs, parsley, salt and pepper. Beat together egg, mayonnaise, hot sauce and mustard. Combine with other ingredients and mix well. Form into patties and place on a lightly greased broiler pan or baking sheet. Broil for 10 to 15 minutes, until lightly brown.",15 mins,20 mins,35 mins,4,4 to 6 servings,211.0,2.6,0.3,13.0,2.5,184.8,20.1,0.2,372.6,116.6,106.9,1.4,32.3,314.5,,,381.9,7.3,,3.5,57.2,0.1,,,,,,,,,,
